;Year;Administritive Area;Driving Liceses;geo_point_2d
0;(2012);Makkah;143954n;21.628962766, 41.2636898334
1;(1994);Makkah;75349n;21.628962766, 41.2636898334
2;(1998);Makkah;86082n;21.628962766, 41.2636898334
3;(2004);Makkah;86636n;21.628962766, 41.2636898334
4;(2005);Makkah;65099n;21.628962766, 41.2636898334
5;(2008);Makkah;77013n;21.628962766, 41.2636898334
6;(2014);Madinah;31447n;24.927534539, 39.4918237173
7;(2013);Madinah;28513n;24.927534539, 39.4918237173
8;(2012);Madinah;14459n;24.927534539, 39.4918237173
9;(1994);Madinah;3767n;24.927534539, 39.4918237173
10;(1998);Madinah;13020n;24.927534539, 39.4918237173
11;(2000);Madinah;9562n;24.927534539, 39.4918237173
12;(2007);Madinah;12174n;24.927534539, 39.4918237173
13;(2004);Madinah;10556n;24.927534539, 39.4918237173
14;(1995);Al-Qaseem;49690n;26.1967063704, 43.3429998455
15;(1996);Al-Qaseem;42693n;26.1967063704, 43.3429998455
16;(2015);Eastern;135752n;23.2883307307, 50.1478302439
17;(2015);Assir;38567n;19.1387847401, 42.941470036
18;(1995);Assir;4889n;19.1387847401, 42.941470036
19;(1996);Assir;3319n;19.1387847401, 42.941470036
20;(1998);Assir;13220n;19.1387847401, 42.941470036
21;(2010);Tabouk;10345n;27.90165499, 37.2598581394
22;(2013);Tabouk;12848n;27.90165499, 37.2598581394
23;(1996);Tabouk;2263n;27.90165499, 37.2598581394
24;(1998);Tabouk;6823n;27.90165499, 37.2598581394
25;(2001);Tabouk;6344n;27.90165499, 37.2598581394
26;(2007);Tabouk;11045n;27.90165499, 37.2598581394
27;(2017);Hail;22035n;27.400845724, 41.4406960508
28;(2007);Hail;4021n;27.400845724, 41.4406960508
29;(2004);Hail;8656n;27.400845724, 41.4406960508
30;(2005);Hail;16247n;27.400845724, 41.4406960508
31;(2009);Hail;7282n;27.400845724, 41.4406960508
32;(2017);Northern Boarder;5280n;30.197074783, 41.8171186952
33;(2012);Northern Boarder;3706n;30.197074783, 41.8171186952
34;(1993);Northern Boarder;1510n;30.197074783, 41.8171186952
35;(2000);Northern Boarder;2894n;30.197074783, 41.8171186952
36;(2005);Northern Boarder;1804n;30.197074783, 41.8171186952
37;(2010);Jazan;12270n;17.2072313962, 42.6525807422
38;(1993);Jazan;6009n;17.2072313962, 42.6525807422
39;(1997);Jazan;5695n;17.2072313962, 42.6525807422
40;(2000);Jazan;5678n;17.2072313962, 42.6525807422
41;(2001);Jazan;10631n;17.2072313962, 42.6525807422
42;(2008);Jazan;11346n;17.2072313962, 42.6525807422
43;(2010);Najran;6360n;18.4511003068, 46.8688495726
44;(2013);Najran;8996n;18.4511003068, 46.8688495726
45;(1995);Najran;3268n;18.4511003068, 46.8688495726
46;(1999);Najran;3959n;18.4511003068, 46.8688495726
47;(2003);Najran;4443n;18.4511003068, 46.8688495726
48;(2009);Najran;6771n;18.4511003068, 46.8688495726
49;(2015);Al-Baha;4856n;20.1484058503, 41.4665484892
50;(2016);Al-Baha;4614n;20.1484058503, 41.4665484892
51;(2011);Al-Baha;6450n;20.1484058503, 41.4665484892
52;(1994);Al-Baha;2729n;20.1484058503, 41.4665484892
53;(1996);Al-Baha;1468n;20.1484058503, 41.4665484892
54;(2010);Al-Jouf;10937n;29.9677445762, 39.5570371172
55;(1996);Al-Jouf;2518n;29.9677445762, 39.5570371172
56;(2000);Al-Jouf;4666n;29.9677445762, 39.5570371172
57;(2001);Al-Jouf;4756n;29.9677445762, 39.5570371172
58;(2015);Total;435439n;
59;(2017);Total;928165n;
60;(1993);Total;294893n;
61;(1994);Total;303520n;
62;(2003);Total;254858n;
63;(2006);Total;267508n;
64;(2011);Riyadh;27772n;23.0814341634, 45.5857512766
65;(2013);Riyadh;165994n;23.0814341634, 45.5857512766
66;(1999);Riyadh;100291n;23.0814341634, 45.5857512766
67;(2005);Riyadh;23245n;23.0814341634, 45.5857512766
68;(2015);Makkah;157389n;21.628962766, 41.2636898334
69;(2013);Makkah;131108n;21.628962766, 41.2636898334
70;(1997);Riyadh;92145n;23.0814341634, 45.5857512766
71;(2001);Riyadh;13090n;23.0814341634, 45.5857512766
72;(2014);Makkah;149234n;21.628962766, 41.2636898334
73;(2010);Makkah;113531n;21.628962766, 41.2636898334
74;(1997);Makkah;76623n;21.628962766, 41.2636898334
75;(1999);Makkah;103535n;21.628962766, 41.2636898334
76;(2000);Makkah;87053n;21.628962766, 41.2636898334
77;(2006);Makkah;66967n;21.628962766, 41.2636898334
78;(2009);Makkah;112045n;21.628962766, 41.2636898334
79;(2010);Madinah;15045n;24.927534539, 39.4918237173
80;(1995);Madinah;4155n;24.927534539, 39.4918237173
81;(1996);Madinah;3425n;24.927534539, 39.4918237173
82;(1999);Madinah;11108n;24.927534539, 39.4918237173
83;(2003);Madinah;12920n;24.927534539, 39.4918237173
84;(2015);Al-Qaseem;13631n;26.1967063704, 43.3429998455
85;(2014);Al-Qaseem;29113n;26.1967063704, 43.3429998455
86;(2017);Al-Qaseem;6318n;26.1967063704, 43.3429998455
87;(2010);Al-Qaseem;36737n;26.1967063704, 43.3429998455
88;(2013);Al-Qaseem;17889n;26.1967063704, 43.3429998455
89;(1994);Al-Qaseem;68916n;26.1967063704, 43.3429998455
90;(2003);Al-Qaseem;10666n;26.1967063704, 43.3429998455
91;(2000);Al-Qaseem;12226n;26.1967063704, 43.3429998455
92;(2006);Al-Qaseem;12142n;26.1967063704, 43.3429998455
93;(2007);Al-Qaseem;25174n;26.1967063704, 43.3429998455
94;(2017);Eastern;126816n;23.2883307307, 50.1478302439
95;(2011);Eastern;151087n;23.2883307307, 50.1478302439
96;(2012);Eastern;129971n;23.2883307307, 50.1478302439
97;(2012);Assir;23136n;19.1387847401, 42.941470036
98;(1997);Assir;12204n;19.1387847401, 42.941470036
99;(2003);Assir;15693n;19.1387847401, 42.941470036
100;(2008);Assir;18800n;19.1387847401, 42.941470036
101;(2017);Tabouk;10232n;27.90165499, 37.2598581394
102;(2011);Tabouk;12820n;27.90165499, 37.2598581394
103;(1994);Tabouk;3282n;27.90165499, 37.2598581394
104;(2003);Tabouk;9873n;27.90165499, 37.2598581394
105;(2008);Tabouk;14928n;27.90165499, 37.2598581394
106;(2009);Tabouk;9424n;27.90165499, 37.2598581394
107;(2014);Hail;10417n;27.400845724, 41.4406960508
108;(2010);Hail;7637n;27.400845724, 41.4406960508
109;(1995);Hail;9735n;27.400845724, 41.4406960508
110;(2002);Hail;5070n;27.400845724, 41.4406960508
111;(2001);Hail;6077n;27.400845724, 41.4406960508
112;(2008);Hail;7413n;27.400845724, 41.4406960508
113;(2016);Northern Boarder;4958n;30.197074783, 41.8171186952
114;(2011);Northern Boarder;4314n;30.197074783, 41.8171186952
115;(1999);Northern Boarder;2311n;30.197074783, 41.8171186952
116;(1998);Northern Boarder;2014n;30.197074783, 41.8171186952
117;(2001);Northern Boarder;2971n;30.197074783, 41.8171186952
118;(2006);Northern Boarder;2573n;30.197074783, 41.8171186952
119;(2004);Northern Boarder;1922n;30.197074783, 41.8171186952
120;(2014);Jazan;15621n;17.2072313962, 42.6525807422
121;(2011);Jazan;10946n;17.2072313962, 42.6525807422
122;(1994);Jazan;3826n;17.2072313962, 42.6525807422
123;(1999);Jazan;4792n;17.2072313962, 42.6525807422
124;(2009);Jazan;9437n;17.2072313962, 42.6525807422
125;(2016);Najran;2153n;18.4511003068, 46.8688495726
126;(2012);Najran;9201n;18.4511003068, 46.8688495726
127;(2000);Najran;4905n;18.4511003068, 46.8688495726
128;(2006);Najran;5897n;18.4511003068, 46.8688495726
129;(2007);Najran;7226n;18.4511003068, 46.8688495726
130;(2014);Al-Baha;7268n;20.1484058503, 41.4665484892
131;(2012);Al-Baha;7593n;20.1484058503, 41.4665484892
132;(1993);Al-Baha;3270n;20.1484058503, 41.4665484892
133;(1995);Al-Baha;2423n;20.1484058503, 41.4665484892
134;(1998);Al-Baha;5110n;20.1484058503, 41.4665484892
135;(2002);Al-Baha;3335n;20.1484058503, 41.4665484892
136;(2003);Al-Baha;3616n;20.1484058503, 41.4665484892
137;(2005);Al-Baha;2698n;20.1484058503, 41.4665484892
138;(2014);Al-Jouf;9982n;29.9677445762, 39.5570371172
139;(2012);Al-Jouf;10246n;29.9677445762, 39.5570371172
140;(1994);Al-Jouf;2535n;29.9677445762, 39.5570371172
141;(2004);Al-Jouf;4601n;29.9677445762, 39.5570371172
142;(2014);Total;625414n;
143;(2010);Total;386510n;
144;(2012);Total;411204n;
145;(1999);Total;332210n;
146;(2002);Total;282038n;
147;(2001);Total;264725n;
148;(2004);Total;268738n;
149;(2005);Total;251203n;
150;(2009);Total;376275n;
151;(2012);Riyadh;23888n;23.0814341634, 45.5857512766
152;(1993);Riyadh;103886n;23.0814341634, 45.5857512766
153;(1995);Riyadh;101608n;23.0814341634, 45.5857512766
154;(1994);Riyadh;110545n;23.0814341634, 45.5857512766
155;(2014);Riyadh;194208n;23.0814341634, 45.5857512766
156;(1996);Riyadh;110131n;23.0814341634, 45.5857512766
157;(2017);Makkah;142487n;21.628962766, 41.2636898334
158;(2016);Makkah;136055n;21.628962766, 41.2636898334
159;(2005);Al-Jouf;3558n;29.9677445762, 39.5570371172
160;(2008);Al-Jouf;10929n;29.9677445762, 39.5570371172
161;(2009);Al-Jouf;10567n;29.9677445762, 39.5570371172
162;(2011);Total;400558n;
163;(2000);Total;273238n;
164;(2007);Total;331356n;
165;(2008);Total;330158n;
166;(2010);Northern Boarder;3064n;30.197074783, 41.8171186952
167;(1996);Northern Boarder;1383n;30.197074783, 41.8171186952
168;(2002);Northern Boarder;2268n;30.197074783, 41.8171186952
169;(2009);Northern Boarder;3649n;30.197074783, 41.8171186952
170;(2015);Jazan;13931n;17.2072313962, 42.6525807422
171;(2013);Jazan;14175n;17.2072313962, 42.6525807422
172;(2007);Jazan;12634n;17.2072313962, 42.6525807422
173;(2005);Jazan;5502n;17.2072313962, 42.6525807422
174;(2015);Najran;1864n;18.4511003068, 46.8688495726
175;(1996);Najran;3274n;18.4511003068, 46.8688495726
176;(2008);Najran;7938n;18.4511003068, 46.8688495726
177;(1999);Al-Baha;4246n;20.1484058503, 41.4665484892
178;(2000);Al-Baha;4832n;20.1484058503, 41.4665484892
179;(2001);Al-Baha;7594n;20.1484058503, 41.4665484892
180;(2007);Al-Baha;997n;20.1484058503, 41.4665484892
181;(2015);Al-Jouf;10233n;29.9677445762, 39.5570371172
182;(1997);Al-Jouf;3565n;29.9677445762, 39.5570371172
183;(1998);Al-Jouf;3476n;29.9677445762, 39.5570371172
184;(2002);Al-Jouf;5940n;29.9677445762, 39.5570371172
185;(2006);Al-Jouf;4846n;29.9677445762, 39.5570371172
186;(1993);Makkah;65977n;21.628962766, 41.2636898334
187;(1995);Makkah;60356n;21.628962766, 41.2636898334
188;(2001);Makkah;85593n;21.628962766, 41.2636898334
189;(2016);Madinah;24540n;24.927534539, 39.4918237173
190;(2001);Madinah;13561n;24.927534539, 39.4918237173
191;(2006);Madinah;11204n;24.927534539, 39.4918237173
192;(2009);Madinah;11574n;24.927534539, 39.4918237173
193;(2016);Al-Qaseem;9180n;26.1967063704, 43.3429998455
194;(2001);Al-Qaseem;14718n;26.1967063704, 43.3429998455
195;(2013);Eastern;123325n;23.2883307307, 50.1478302439
196;(1996);Eastern;8461n;23.2883307307, 50.1478302439
197;(2002);Eastern;85035n;23.2883307307, 50.1478302439
198;(2000);Eastern;65767n;23.2883307307, 50.1478302439
199;(2001);Eastern;74119n;23.2883307307, 50.1478302439
200;(2006);Eastern;79517n;23.2883307307, 50.1478302439
201;(2007);Eastern;106511n;23.2883307307, 50.1478302439
202;(2008);Eastern;104626n;23.2883307307, 50.1478302439
203;(2014);Assir;29552n;19.1387847401, 42.941470036
204;(2011);Assir;24515n;19.1387847401, 42.941470036
205;(1999);Assir;14625n;19.1387847401, 42.941470036
206;(2002);Assir;20417n;19.1387847401, 42.941470036
207;(2000);Assir;18622n;19.1387847401, 42.941470036
208;(2006);Assir;20330n;19.1387847401, 42.941470036
209;(2007);Assir;10835n;19.1387847401, 42.941470036
210;(2015);Tabouk;915n;27.90165499, 37.2598581394
211;(1993);Tabouk;3174n;27.90165499, 37.2598581394
212;(1997);Tabouk;5426n;27.90165499, 37.2598581394
213;(2002);Tabouk;8794n;27.90165499, 37.2598581394
214;(2005);Tabouk;6511n;27.90165499, 37.2598581394
215;(2016);Hail;54507n;27.400845724, 41.4406960508
216;(1993);Hail;10484n;27.400845724, 41.4406960508
217;(1996);Hail;10267n;27.400845724, 41.4406960508
218;(2003);Hail;3861n;27.400845724, 41.4406960508
219;(2006);Hail;8166n;27.400845724, 41.4406960508
220;(2003);Northern Boarder;1705n;30.197074783, 41.8171186952
221;(1995);Jazan;2284n;17.2072313962, 42.6525807422
222;(1998);Jazan;2613n;17.2072313962, 42.6525807422
223;(2003);Jazan;5220n;17.2072313962, 42.6525807422
224;(2004);Jazan;5016n;17.2072313962, 42.6525807422
225;(2017);Najran;13825n;18.4511003068, 46.8688495726
226;(1993);Najran;3769n;18.4511003068, 46.8688495726
227;(1997);Najran;3073n;18.4511003068, 46.8688495726
228;(2002);Najran;5117n;18.4511003068, 46.8688495726
229;(2005);Najran;4779n;18.4511003068, 46.8688495726
230;(2010);Al-Baha;7076n;20.1484058503, 41.4665484892
231;(2013);Al-Baha;7482n;20.1484058503, 41.4665484892
232;(1997);Al-Baha;3027n;20.1484058503, 41.4665484892
233;(2006);Al-Baha;3593n;20.1484058503, 41.4665484892
234;(2017);Al-Jouf;8091n;29.9677445762, 39.5570371172
235;(1993);Al-Jouf;2884n;29.9677445762, 39.5570371172
236;(1995);Al-Jouf;2270n;29.9677445762, 39.5570371172
237;(1999);Al-Jouf;3950n;29.9677445762, 39.5570371172
238;(2007);Al-Jouf;9097n;29.9677445762, 39.5570371172
239;(2013);Total;565314n;
240;(1995);Total;251878n;
241;(2010);Riyadh;31378n;23.0814341634, 45.5857512766
242;(2003);Riyadh;26076n;23.0814341634, 45.5857512766
243;(2000);Riyadh;45345n;23.0814341634, 45.5857512766
244;(2006);Riyadh;36059n;23.0814341634, 45.5857512766
245;(2008);Riyadh;36798n;23.0814341634, 45.5857512766
246;(2011);Makkah;110647n;21.628962766, 41.2636898334
247;(2017);Madinah;36165n;24.927534539, 39.4918237173
248;(2011);Madinah;14630n;24.927534539, 39.4918237173
249;(1993);Madinah;4122n;24.927534539, 39.4918237173
250;(2002);Madinah;10494n;24.927534539, 39.4918237173
251;(2005);Madinah;10210n;24.927534539, 39.4918237173
252;(2012);Al-Qaseem;11421n;26.1967063704, 43.3429998455
253;(2004);Al-Qaseem;9390n;26.1967063704, 43.3429998455
254;(2005);Al-Qaseem;10480n;26.1967063704, 43.3429998455
255;(2014);Eastern;121774n;23.2883307307, 50.1478302439
256;(2016);Eastern;142307n;23.2883307307, 50.1478302439
257;(2010);Eastern;110295n;23.2883307307, 50.1478302439
258;(1995);Eastern;7831n;23.2883307307, 50.1478302439
259;(1994);Eastern;10918n;23.2883307307, 50.1478302439
260;(1997);Eastern;58814n;23.2883307307, 50.1478302439
261;(2003);Eastern;82697n;23.2883307307, 50.1478302439
262;(2009);Eastern;108544n;23.2883307307, 50.1478302439
263;(2017);Assir;39133n;19.1387847401, 42.941470036
264;(2016);Assir;41367n;19.1387847401, 42.941470036
265;(2013);Assir;29730n;19.1387847401, 42.941470036
266;(2001);Assir;20321n;19.1387847401, 42.941470036
267;(2005);Assir;18565n;19.1387847401, 42.941470036
268;(2014);Tabouk;12188n;27.90165499, 37.2598581394
269;(1995);Tabouk;2051n;27.90165499, 37.2598581394
270;(2004);Tabouk;7532n;27.90165499, 37.2598581394
271;(2015);Hail;7172n;27.400845724, 41.4406960508
272;(2011);Hail;9123n;27.400845724, 41.4406960508
273;(2012);Hail;11082n;27.400845724, 41.4406960508
274;(1994);Hail;11131n;27.400845724, 41.4406960508
275;(1998);Hail;4708n;27.400845724, 41.4406960508
276;(2000);Hail;3215n;27.400845724, 41.4406960508
277;(2015);Northern Boarder;3837n;30.197074783, 41.8171186952
278;(2014);Northern Boarder;5009n;30.197074783, 41.8171186952
279;(2013);Northern Boarder;3921n;30.197074783, 41.8171186952
280;(1995);Northern Boarder;1318n;30.197074783, 41.8171186952
281;(1994);Northern Boarder;1457n;30.197074783, 41.8171186952
282;(1997);Northern Boarder;1531n;30.197074783, 41.8171186952
283;(2007);Northern Boarder;3479n;30.197074783, 41.8171186952
284;(2008);Northern Boarder;3519n;30.197074783, 41.8171186952
285;(2017);Jazan;18345n;17.2072313962, 42.6525807422
286;(2016);Jazan;11504n;17.2072313962, 42.6525807422
287;(2012);Jazan;11156n;17.2072313962, 42.6525807422
288;(1996);Jazan;2226n;17.2072313962, 42.6525807422
289;(2002);Jazan;5254n;17.2072313962, 42.6525807422
290;(2006);Jazan;7955n;17.2072313962, 42.6525807422
291;(2015);Riyadh;24548n;23.0814341634, 45.5857512766
292;(2017);Riyadh;495307n;23.0814341634, 45.5857512766
293;(2016);Riyadh;242851n;23.0814341634, 45.5857512766
294;(1998);Riyadh;114962n;23.0814341634, 45.5857512766
295;(2002);Riyadh;25423n;23.0814341634, 45.5857512766
296;(2007);Riyadh;36261n;23.0814341634, 45.5857512766
297;(2004);Riyadh;23479n;23.0814341634, 45.5857512766
298;(2009);Riyadh;38014n;23.0814341634, 45.5857512766
299;(1996);Makkah;46195n;21.628962766, 41.2636898334
300;(2014);Najran;9601n;18.4511003068, 46.8688495726
301;(2011);Najran;7314n;18.4511003068, 46.8688495726
302;(1994);Najran;3880n;18.4511003068, 46.8688495726
303;(1998);Najran;4322n;18.4511003068, 46.8688495726
304;(2001);Najran;4950n;18.4511003068, 46.8688495726
305;(2004);Najran;4609n;18.4511003068, 46.8688495726
306;(2017);Al-Baha;4131n;20.1484058503, 41.4665484892
307;(2004);Al-Baha;3410n;20.1484058503, 41.4665484892
308;(2008);Al-Baha;5418n;20.1484058503, 41.4665484892
309;(2009);Al-Baha;9815n;20.1484058503, 41.4665484892
310;(2016);Al-Jouf;9371n;29.9677445762, 39.5570371172
311;(2011);Al-Jouf;10180n;29.9677445762, 39.5570371172
312;(2013);Al-Jouf;11602n;29.9677445762, 39.5570371172
313;(2003);Al-Jouf;3852n;29.9677445762, 39.5570371172
314;(2016);Total;697017n;
315;(1997);Total;289296n;
316;(1996);Total;237623n;
317;(1998);Total;338350n;
318;(2002);Makkah;88593n;21.628962766, 41.2636898334
319;(2003);Makkah;74236n;21.628962766, 41.2636898334
320;(2007);Makkah;91902n;21.628962766, 41.2636898334
321;(2015);Madinah;22744n;24.927534539, 39.4918237173
322;(1997);Madinah;10495n;24.927534539, 39.4918237173
323;(2008);Madinah;9194n;24.927534539, 39.4918237173
324;(2011);Al-Qaseem;10760n;26.1967063704, 43.3429998455
325;(1993);Al-Qaseem;73618n;26.1967063704, 43.3429998455
326;(1997);Al-Qaseem;10092n;26.1967063704, 43.3429998455
327;(1999);Al-Qaseem;9983n;26.1967063704, 43.3429998455
328;(1998);Al-Qaseem;11350n;26.1967063704, 43.3429998455
329;(2002);Al-Qaseem;16298n;26.1967063704, 43.3429998455
330;(2008);Al-Qaseem;22236n;26.1967063704, 43.3429998455
331;(2009);Al-Qaseem;27571n;26.1967063704, 43.3429998455
332;(1993);Eastern;9964n;23.2883307307, 50.1478302439
333;(1999);Eastern;64973n;23.2883307307, 50.1478302439
334;(1998);Eastern;70650n;23.2883307307, 50.1478302439
335;(2004);Eastern;84984n;23.2883307307, 50.1478302439
336;(2005);Eastern;82505n;23.2883307307, 50.1478302439
337;(2010);Assir;21835n;19.1387847401, 42.941470036
338;(1993);Assir;6226n;19.1387847401, 42.941470036
339;(1994);Assir;5185n;19.1387847401, 42.941470036
340;(2004);Assir;17947n;19.1387847401, 42.941470036
341;(2009);Assir;21582n;19.1387847401, 42.941470036
342;(2016);Tabouk;13610n;27.90165499, 37.2598581394
343;(2012);Tabouk;11391n;27.90165499, 37.2598581394
344;(1999);Tabouk;5298n;27.90165499, 37.2598581394
345;(2000);Tabouk;8473n;27.90165499, 37.2598581394
346;(2006);Tabouk;8259n;27.90165499, 37.2598581394
347;(2013);Hail;9731n;27.400845724, 41.4406960508
348;(1997);Hail;6606n;27.400845724, 41.4406960508
349;(1999);Hail;3139n;27.400845724, 41.4406960508
